source,host,timestamp,event_id,level,provider,user,ip,message,tags
real,RyanHDevice1,/Date(1770506169712)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 3 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770506169704)/,16,Information,Microsoft-Windows-Kernel-General,,,The access history in hive \??\C:\Users\Ryan Holmes\AppData\Local\Packages\Microsoft.ScreenSketch_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 9 keys and creating 1 modified pages.,
real,RyanHDevice1,/Date(1770505080831)/,7040,Information,Service Control Manager,,,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.,
real,RyanHDevice1,/Date(1770505005847)/,2,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet Id 6 and Pid 8072 stopped with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770504944422)/,7040,Information,Service Control Manager,,,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.,
real,RyanHDevice1,/Date(1770504694892)/,10016,Warning,Microsoft-Windows-DistributedCOM,,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user RyanHDevice1\Ryan Holmes SID (S-1-5-21-2886018539-3815662427-1404205157-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool.",
real,RyanHDevice1,/Date(1770504691726)/,6062,Warning,Netwtw14,,,,
real,RyanHDevice1,/Date(1770504689217)/,7021,Information,Netwtw14,,,,
real,RyanHDevice1,/Date(1770504575143)/,1,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet \??\C:\WINDOWS\System32\NgcIso.exe Id 6 and Pid 8072 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770504575142)/,5,Information,Microsoft-Windows-IsolatedUserMode,,,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.,
real,RyanHDevice1,/Date(1770504553810)/,566,Information,Microsoft-Windows-Kernel-Power,,,"The system session has transitioned from 11 to 12.

Reason PolicyChange 

BootId: 38",
real,RyanHDevice1,/Date(1770504553810)/,507,Information,Microsoft-Windows-Kernel-Power,,,"The system is exiting Modern Standby 

Reason: Lid.",
real,RyanHDevice1,/Date(1770504553477)/,172,Information,Microsoft-Windows-Kernel-Power,,,"Connectivity state in standby: Connected, Reason: None",
real,RyanHDevice1,/Date(1770504553418)/,701,Warning,Win32k,,,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0),
real,RyanHDevice1,/Date(1770504553418)/,701,Warning,Win32k,,,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0),
real,RyanHDevice1,/Date(1770504541565)/,172,Information,Microsoft-Windows-Kernel-Power,,,"Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby",
real,RyanHDevice1,/Date(1770504535190)/,566,Information,Microsoft-Windows-Kernel-Power,,,"The system session has transitioned from 10 to 11.

Reason InputMouse 

BootId: 38",
real,RyanHDevice1,/Date(1770504530158)/,506,Information,Microsoft-Windows-Kernel-Power,,,"The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed.",
